income happiness
3.86264741839841 2.31448898284741
4.97938138246536 3.43348975853174
4.9239569362253 4.59937340433575
3.21437243884429 2.79111380280692
7.19640925107524 5.59639827336202
3.72964347945526 2.45855587216119
4.67451738892123 3.19299180946247
4.49810382071882 1.90713683309599
3.12163052614778 2.94244987165905
4.6399144353345 3.73794160485342
4.6328395139426 3.17540614694795
2.77317889546975 2.00904646125992
7.11947859451175 5.95181409854467
7.46665319614112 5.96054730753846
2.11774233123288 1.44579885772475
2.55916581954807 2.89858314201704
2.35479322029278 1.23116752380514
2.38815724756569 2.3129880546267
4.75568027375266 2.66611603454578
1.99427504651248 2.58472902193729
7.31091602565721 5.74744410385007
3.52831895649433 2.54652458689424
2.4287516749464 1.20078552531679
3.54274787474424 3.07829338129477
5.22720123874024 4.31776091901847
6.6919931396842 5.38147873730164
3.90040993876755 3.56522431909848
2.29105547815561 0.953412995602085
2.38051270600408 2.16916126054514
